Date,Team,Acquired,Relinquished,Notes
2009-11-01,Heat,,• Daequan Cook,placed on IL with strained right shoulder
2009-11-01,Heat,• James Jones (b),,activated from IL
2009-11-01,Raptors,,• Marcus Banks,placed on IL
2009-11-01,Raptors,• Sonny Weems,,activated from IL
2009-11-02,Bobcats,,• Derrick Brown,placed on IL
2009-11-02,Bobcats,• Raja Bell,,activated from IL
2009-11-02,Clippers,,• Steve Novak,placed on IL
2009-11-02,Clippers,• Ricky Davis,,activated from IL
2009-11-02,Grizzlies,,• Hamed Haddadi,placed on IL
2009-11-02,Grizzlies,• Allen Iverson,,activated from IL
2009-11-02,Kings,• Kenny Thomas,,activated from IL (date 11-04 per P)
2009-11-03,Bucks,,• Michael Redd,placed on IL with strained tendon in left knee
2009-11-03,Bucks,• Jodie Meeks,,activated from IL
2009-11-03,Pacers,,• Jeff Foster,placed on IL with sprained right ankle
2009-11-03,Pacers,• Travis Diener,,activated from IL
2009-11-03,Pistons,,• Tayshaun Prince,placed on IL with back injury
2009-11-03,Pistons,• DaJuan Summers,,activated from IL
2009-11-03,Suns,,• Leandro Barbosa,placed on IL with sore right wrist
2009-11-03,Suns,• Taylor Griffin,,activated from IL
2009-11-03,Wizards,,• Paul Davis,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-03,Wizards,• Caron Butler,,activated from IL
2009-11-04,Kings,,• Donte Greene,placed on IL
2009-11-04,Nuggets,,• Joey Graham,placed on IL with sprained right big toe
2009-11-04,Nuggets,• Johan Petro,,activated from IL
2009-11-04,Raptors,,• Sonny Weems,placed on IL with sore left knee
2009-11-04,Raptors,• Marcus Banks,,activated from IL
2009-11-04,Rockets,,• Chase Budinger,placed on IL with sprained left ankle
2009-11-04,Rockets,• Joey Dorsey,,activated from IL
2009-11-05,Cavaliers,,• Jawad Williams,placed on IL
2009-11-05,Cavaliers,• Danny Green,,activated from IL
2009-11-06,Bobcats,,• Alexis Ajinca / Alex Ajinca,placed on IL
2009-11-06,Bobcats,,• DeSagana Diop,placed on IL
2009-11-06,Bobcats,• Derrick Brown,,activated from IL
2009-11-06,Bobcats,• Ronald Murray / Flip Murray,,activated from IL
2009-11-06,Clippers,,• Mardy Collins,placed on IL
2009-11-06,Clippers,• Steve Novak,,activated from IL
2009-11-06,Grizzlies,• Hamed Haddadi,,activated from IL
2009-11-06,Hornets,,• Devin Brown,placed on IL
2009-11-06,Hornets,• Marcus Thornton (T.),,activated from IL
2009-11-06,Nuggets,,• J.R. Smith,placed on IL with suspension
2009-11-06,Nuggets,• Joey Graham,,activated from IL
2009-11-06,Pacers,,• Troy Murphy,placed on IL with back injury
2009-11-06,Pacers,• Tyler Hansbrough,,activated from IL
2009-11-06,Raptors,,• Marcus Banks,placed on IL
2009-11-06,Raptors,• Sonny Weems,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-06,Rockets,,• Joey Dorsey,placed on IL
2009-11-06,Rockets,• Chase Budinger,,activated from IL
2009-11-06,Wizards,,• Mike Miller,placed on IL with left shoulder injury
2009-11-06,Wizards,• Paul Davis,,activated from IL
2009-11-07,Bobcats,,• Derrick Brown,placed on IL
2009-11-07,Bobcats,• Alexis Ajinca / Alex Ajinca,,activated from IL
2009-11-07,Kings,,• Kevin Martin,placed on IL recovering from surgery on left wrist to repair stress fracture
2009-11-07,Kings,• Donte Greene,,activated from IL
2009-11-07,Mavericks,,• Drew Gooden,placed on IL with strained right rib muscle
2009-11-07,Mavericks,• Josh Howard,,activated from IL
2009-11-07,Raptors,,• Sonny Weems,placed on IL
2009-11-07,Raptors,• Marcus Banks,,activated from IL
2009-11-07,Bulls,,• Tyrus Thomas,placed on IL recovering from surgery on broken left forearm
2009-11-08,Hornets,,• Morris Peterson,placed on IL
2009-11-08,Hornets,• Devin Brown,,activated from IL
2009-11-08,Suns,,• Taylor Griffin,placed on IL
2009-11-08,Suns,• Leandro Barbosa,,activated from IL
2009-11-09,Clippers,,• Eric Gordon,placed on IL with sore left groin
2009-11-09,Clippers,• Mardy Collins,,activated from IL
2009-11-09,Raptors,,• Marcus Banks,placed on IL
2009-11-09,Raptors,• Sonny Weems,,activated from IL
2009-11-09,Spurs,,• (William) Tony Parker,placed on IL with sprained left ankle
2009-11-09,Spurs,,• Tim Duncan,placed on IL with sore left ankle
2009-11-09,Spurs,• Malik Hairston,,activated from IL
2009-11-09,Spurs,• Marcus Haislip,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-10,Bobcats,,• Alexis Ajinca / Alex Ajinca,placed on IL
2009-11-10,Bobcats,• DeSagana Diop,,activated from IL
2009-11-10,Heat,,• Yakhouba Diawara,placed on IL
2009-11-10,Heat,• Daequan Cook,,activated from IL
2009-11-10,Mavericks,,• Matt Carroll,placed on IL
2009-11-10,Mavericks,• Drew Gooden,,activated from IL
2009-11-10,Nuggets,,• Johan Petro,placed on IL
2009-11-10,Thunder,,• Shaun Livingston,placed on IL
2009-11-10,Thunder,• Kyle Weaver,,activated from IL
2009-11-10,Nuggets,• J.R. Smith,,activated from IL
2009-11-11,Bobcats,,• DeSagana Diop,placed on IL
2009-11-11,Bobcats,,• Raja Bell,placed on IL with calf injury
2009-11-11,Bobcats,• Alexis Ajinca / Alex Ajinca,,activated from IL
2009-11-11,Bobcats,• Derrick Brown,,activated from IL
2009-11-11,Cavaliers,• Coby Karl,,activated from IL
2009-11-11,Celtics,,• Brian Scalabrine,placed on IL with back spasms
2009-11-11,Celtics,• Bill Walker,,activated from IL
2009-11-11,Nuggets,,• Renaldo Balkman,placed on IL
2009-11-11,Nuggets,• Johan Petro,,activated from IL
2009-11-13,Celtics,,• Bill Walker,placed on IL
2009-11-13,Celtics,• Brian Scalabrine,,activated from IL
2009-11-13,Hornets,,• Bobby Brown,placed on IL
2009-11-13,Hornets,• Sean Marks,,activated from IL
2009-11-13,Mavericks,,• Josh Howard,placed on IL with sore left ankle
2009-11-13,Mavericks,• Matt Carroll,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-13,Nuggets,,• Anthony Carter,placed on IL with strained left hip
2009-11-13,Nuggets,• Renaldo Balkman,,activated from IL
2009-11-13,Timberwolves,• Jason Hart,,activated from IL
2009-11-14,Bobcats,,• Alexis Ajinca / Alex Ajinca,placed on IL
2009-11-14,Bobcats,• Raja Bell,,activated from IL
2009-11-14,Cavaliers,,• Shaquille O'Neal,placed on IL with strained shoulder
2009-11-14,Cavaliers,• Jawad Williams,,activated from IL
2009-11-14,Heat,,• Jermaine O'Neal,placed on IL with bruised left hip
2009-11-14,Heat,• Yakhouba Diawara,,activated from IL
2009-11-14,Hornets,,• Chris Paul,placed on IL with sprained left ankle
2009-11-14,Hornets,• Bobby Brown,,activated from IL
2009-11-14,Spurs,,• Malik Hairston,placed on IL
2009-11-14,Spurs,,• Marcus Haislip,placed on IL
2009-11-14,Spurs,• (William) Tony Parker,,activated from IL
2009-11-14,Spurs,• Tim Duncan,,activated from IL
2009-11-14,Wizards,,• Mike James (Lamont),placed on IL with broken left ring finger
2009-11-14,Wizards,• Mike Miller,,activated from IL
2009-11-14,Grizzlies,,• Jamaal Tinsley,placed on IL
2009-11-15,Raptors,,• Antoine Wright,placed on IL with sprained left ankle
2009-11-15,Raptors,• Marcus Banks,,activated from IL
2009-11-17,Cavaliers,,• Anderson Varejao,placed on IL with bruised hip
2009-11-17,Clippers,,• Mardy Collins,placed on IL
2009-11-17,Clippers,• Brian Skinner,,activated from IL
2009-11-17,Heat,,• Yakhouba Diawara,placed on IL
2009-11-17,Heat,• Jermaine O'Neal,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-17,Hornets,,• Hilton Armstrong,placed on IL with sprained right shoulder
2009-11-17,Hornets,• Morris Peterson,,activated from IL
2009-11-17,Raptors,,• Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sore left hip
2009-11-17,Raptors,,• Marcus Banks,placed on IL
2009-11-17,Raptors,• Antoine Wright,,activated from IL
2009-11-18,76ers,,• Marreese Speights,placed on IL with partially torn MCL in left knee
2009-11-18,76ers,• Primoz Brezec,,activated from IL
2009-11-18,Bobcats,,• Acie Law,placed on IL
2009-11-18,Bobcats,• Alexis Ajinca / Alex Ajinca,,activated from IL
2009-11-18,Bucks,,• Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with sprained left foot
2009-11-18,Bucks,• Francisco Elson,,activated from IL
2009-11-18,Clippers,• Mardy Collins,,activated from IL
2009-11-18,Grizzlies,• Jamaal Tinsley,,activated from IL
2009-11-18,Heat,,• Udonis Haslem,placed on IL with sore left shoulder
2009-11-18,Heat,• Shavlik Randolph,,activated from IL
2009-11-18,Knicks,,• Marcus Landry,placed on IL
2009-11-18,Knicks,• Eddy Curry,,activated from IL
2009-11-18,Mavericks,,• Erick Dampier,placed on IL with illness
2009-11-18,Mavericks,• Tim Thomas,,activated from IL
2009-11-18,Raptors,,• Antoine Wright,placed on IL with left ankle injury
2009-11-18,Raptors,• Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
2009-11-18,Spurs,,• (William) Tony Parker,placed on IL with sprained left ankle
2009-11-18,Spurs,• Malik Hairston,,activated from IL
2009-11-18,Timberwolves,,• Jason Hart,placed on IL
2009-11-18,Wizards,,• Fabricio Oberto,placed on IL with left hamstring injury
 Date, Team, Acquired, Relinquished, Notes
2009-11-18,Wizards,• Antawn Jamison,,activated from IL
2009-11-19,Lakers,,• Luke Walton,placed on IL with surgery on back
2009-11-19,Lakers,• Pau Gasol,,activated from IL
2009-11-19,Spurs,,• Emanuel Ginobili / Manu Ginobili,placed on IL with strained left groin
2009-11-19,Spurs,• Ian Mahinmi,,activated from IL
2009-11-20,Bobcats,,• Tyson Chandler,placed on IL with back injury
2009-11-20,Bobcats,• DeSagana Diop,,activated from IL
2009-11-20,Bucks,,• Andrew Bogut,placed on IL with strained ligament in left calf
2009-11-20,Cavaliers,,• Coby Karl,placed on IL
2009-11-20,Cavaliers,• Anderson Varejao,,activated from IL
2009-11-20,Heat,,• Quentin Richardson,placed on IL with sore back
2009-11-20,Heat,• Yakhouba Diawara,,activated from IL
2009-11-20,Nuggets,,• Chris Andersen,placed on IL with right knee injury
2009-11-20,Nuggets,• Anthony Carter,,activated from IL
2009-11-20,Pacers,• Troy Murphy,,activated from IL
2009-11-20,Bucks,• Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
2009-11-20,Pacers,,• Travis Diener,placed on IL recovering from surgery on left big toe
2009-11-21,Hornets,,• Sean Marks,placed on IL
2009-11-21,Hornets,• Hilton Armstrong,,activated from IL
2009-11-21,Nuggets,,• Johan Petro,placed on IL
2009-11-21,Nuggets,• Chris Andersen,,activated from IL
2009-11-21,Spurs,,• Ian Mahinmi,placed on IL
2009-11-21,Spurs,• (William) Tony Parker,,activated from IL
2009-11-21,Wizards,,• Nick Young,placed on IL
2009-11-21,Wizards,• Fabricio Oberto,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-22,Heat,,• Jamaal Magloire,placed on IL
2009-11-22,Heat,• Udonis Haslem,,activated from IL
2009-11-22,Hornets,,• Hilton Armstrong,placed on IL with sprained right shoulder
2009-11-22,Hornets,• Sean Marks,,activated from IL
2009-11-22,Knicks,,• Jared Jeffries,placed on IL
2009-11-22,Knicks,• Marcus Landry,,activated from IL
2009-11-22,Pacers,,• Josh McRoberts,placed on IL
2009-11-22,Pacers,• Jeff Foster,,activated from IL
2009-11-22,Raptors,,• Marco Belinelli,placed on IL with left groin injury
2009-11-22,Raptors,• Marcus Banks,,activated from IL
2009-11-22,Thunder,,• Shaun Livingston,placed on IL recovering from surgery on left knee to remove staples from an earlier surgery
2009-11-22,Thunder,• Ryan Bowen,,activated from IL
2009-11-23,Bucks,,• Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with sprained left foot
2009-11-23,Bucks,• Michael Redd,,activated from IL
2009-11-24,Knicks,,• Marcus Landry,placed on IL
2009-11-24,Knicks,• Jared Jeffries,,activated from IL
2009-11-24,Raptors,,• Marcus Banks,placed on IL
2009-11-24,Raptors,,• Patrick O'Bryant,placed on IL
2009-11-24,Raptors,• Antoine Wright,,activated from IL
2009-11-24,Raptors,• Marco Belinelli,,activated from IL
2009-11-24,Thunder,,• Nick Collison,placed on IL with sore right knee
2009-11-24,Thunder,• Kyle Weaver,,activated from IL
2009-11-24,Wizards,,• Mike Miller,placed on IL with strained left calf (P) / right calf (CBC)
2009-11-24,Wizards,• Nick Young,,activated from IL
2009-11-25,Bobcats,,• DeSagana Diop,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-25,Bobcats,• Acie Law,,activated from IL
2009-11-25,Bobcats,• Tyson Chandler,,activated from IL
2009-11-25,Clippers,,• DeAndre Jordan,placed on IL with right ankle injury
2009-11-25,Clippers,• Eric Gordon,,activated from IL
2009-11-25,Heat,,• Shavlik Randolph,placed on IL
2009-11-25,Heat,• Jamaal Magloire,,activated from IL
2009-11-25,Knicks,,• Eddy Curry,placed on IL
2009-11-25,Knicks,• Marcus Landry,,activated from IL
2009-11-25,Pacers,,• Danny Granger,placed on IL with sprained MCL in left knee
2009-11-25,Pacers,• Josh McRoberts,,activated from IL
2009-11-25,Spurs,,• Theo Ratliff,placed on IL
2009-11-25,Spurs,• Marcus Haislip,,activated from IL
2009-11-26,Bulls,,• Kirk Hinrich,placed on IL with sprained left thumb
2009-11-26,Bulls,• Aaron Gray,,activated from IL
2009-11-27,Bobcats,,• Acie Law,placed on IL
2009-11-27,Bobcats,• DeSagana Diop,,activated from IL
2009-11-27,Cavaliers,• Shaquille O'Neal,,activated from IL
2009-11-27,Magic,,• Jason Williams,placed on IL
2009-11-27,Pacers,,• A.J. Price,placed on IL
2009-11-27,Pacers,,• Josh McRoberts,placed on IL
2009-11-27,Pacers,• Danny Granger,,activated from IL
2009-11-27,Pacers,• Mike Dunleavy Jr.,,activated from IL
2009-11-27,Spurs,,• Marcus Haislip,placed on IL
2009-11-27,Spurs,• Theo Ratliff,,activated from IL
2009-11-27,Suns,,• Alando Tucker,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2009-11-27,Suns,• Robin Lopez,,activated from IL
2009-11-27,Thunder,,• Kyle Weaver,placed on IL with separated left shoulder
2009-11-27,Thunder,• Shaun Livingston,,activated from IL
2009-11-28,Cavaliers,,• Danny Green,placed on IL
2009-11-28,Cavaliers,• Jawad Williams,,activated from IL (P)
2009-11-29,Clippers,,• Brian Skinner,placed on IL
2009-11-29,Clippers,• DeAndre Jordan,,activated from IL
2009-11-29,Heat,,• Yakhouba Diawara,placed on IL
2009-11-29,Heat,• Quentin Richardson,,activated from IL
2009-11-29,Hornets,• Hilton Armstrong,,activated from IL
2009-11-29,Nuggets,,• Renaldo Balkman,placed on IL
2009-11-29,Nuggets,• Johan Petro,,activated from IL
2009-11-29,Spurs,,• Roger Mason Jr.,placed on IL
2009-11-29,Spurs,• Emanuel Ginobili / Manu Ginobili,,activated from IL
2009-11-30,Bucks,,• Michael Redd,placed on IL with strained patella tendon in left knee
2009-11-30,Bucks,• Andrew Bogut,,activated from IL
2009-11-30,Mavericks,,• Quinton Ross,placed on IL with sore lower back
2009-11-30,Mavericks,• Erick Dampier,,activated from IL
2009-12-01,Suns,,• Leandro Barbosa,placed on IL with sprained left ankle
2009-12-01,Suns,• Alando Tucker,,activated from IL
2009-12-02,Cavaliers,,• Jawad Williams,placed on IL
2009-12-02,Cavaliers,• Danny Green,,activated from IL
2009-12-02,Clippers,,• Eric Gordon,placed on IL with strained groin / hamstring injury
2009-12-02,Clippers,• Brian Skinner,,activated from IL
2009-12-02,Thunder,,• Kevin Ollie,placed on IL recovering from surgery on right knee to repair pain in patellar tendon
 Date, Team, Acquired, Relinquished, Notes
2009-12-02,Thunder,• Nick Collison,,activated from IL
2009-12-03,Spurs,,• Malik Hairston,placed on IL
2009-12-03,Spurs,• Roger Mason Jr.,,activated from IL
2009-12-03,Warriors,,• Raja Bell,placed on IL recovering from surgery on left wrist
2009-12-03,Warriors,• Devean George,,activated from IL
2009-12-04,Bucks,,• Francisco Elson,placed on IL
2009-12-04,Bucks,• Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
2009-12-04,Heat,• Chris Quinn,,activated from IL
2009-12-04,Hornets,,• Morris Peterson,placed on IL
2009-12-04,Hornets,,• Sean Marks,placed on IL
2009-12-04,Hornets,• Chris Paul,,activated from IL
2009-12-04,Jazz,,• Ronnie Price,placed on IL with sprained left big toe
2009-12-04,Jazz,• C.J. Miles,,activated from IL
2009-12-04,Nets,,• Eduardo Najera,placed on IL with sore lower back
2009-12-04,Nets,,• Yi Jianlian / Jianlian Yi,placed on IL with sprained MCL in right knee
2009-12-04,Nets,• Keyon Dooling,,activated from IL
2009-12-04,Nets,• Tony Battie,,activated from IL
2009-12-04,Timberwolves,,• Brian Cardinal,placed on IL
2009-12-04,Timberwolves,• Kevin Love,,activated from IL
2009-12-05,76ers,,• Louis Williams / Lou Williams,placed on IL recovering from surgery to repair fractured jaw
2009-12-05,Clippers,,• Brian Skinner,placed on IL
2009-12-05,Clippers,• Eric Gordon,,activated from IL
2009-12-05,Nuggets,,• Renaldo Balkman,placed on IL (P)
2009-12-05,Nuggets,• Johan Petro,,activated from IL (P)
2009-12-05,Suns,,• Louis Amundson / Lou Amundson,placed on IL with flu
 Date, Team, Acquired, Relinquished, Notes
2009-12-05,Suns,• Taylor Griffin,,activated from IL
2009-12-06,Cavaliers,,• Jamario Moon,placed on IL with groin injury
2009-12-06,Cavaliers,• Coby Karl,,activated from IL
2009-12-06,Heat,,• Daequan Cook,placed on IL
2009-12-06,Heat,• Shavlik Randolph,,activated from IL
2009-12-06,Heat,• Yakhouba Diawara,,activated from IL
2009-12-07,Jazz,,• Kyle Korver,placed on IL recovering from surgery on left knee to remove bone spur
2009-12-07,Knicks,,• Marcus Landry,placed on IL
2009-12-07,Knicks,• Eddy Curry,,activated from IL
2009-12-07,Nuggets,,• Malik Allen,placed on IL
2009-12-07,Nuggets,• Johan Petro,,activated from IL (P)
2009-12-07,Spurs,,• Michael Finley,placed on IL with sprained left ankle
2009-12-07,Spurs,• Malik Hairston,,activated from IL
2009-12-07,Jazz,• Ronnie Price,,activated from IL
2009-12-08,Cavaliers,,• Coby Karl,placed on IL
2009-12-08,Cavaliers,• Jawad Williams,,activated from IL
2009-12-08,Celtics,• Tony Allen,,activated from IL
2009-12-08,Clippers,,• Ricky Davis,placed on IL
2009-12-08,Clippers,• Brian Skinner,,activated from IL
2009-12-08,Mavericks,,• Matt Carroll,placed on IL
2009-12-08,Mavericks,• Josh Howard,,activated from IL
2009-12-08,Raptors,,• Jose Calderon,placed on IL with sore left hip
2009-12-08,Raptors,• Marcus Banks,,activated from IL
2009-12-08,Suns,• Louis Amundson / Lou Amundson,,activated from IL
2009-12-08,Timberwolves,,• Nathan Jawai,placed on IL with food poisoning
 Date, Team, Acquired, Relinquished, Notes
2009-12-08,Timberwolves,• Brian Cardinal,,activated from IL
2009-12-08,Celtics,,• Marquis Daniels,placed on IL with torn ligament in left thumb
2009-12-09,Bulls,• Kirk Hinrich,,activated from IL
2009-12-09,Cavaliers,,• Danny Green,placed on IL
2009-12-09,Cavaliers,• Jamario Moon,,activated from IL
2009-12-09,Hornets,,• Bobby Brown,placed on IL
2009-12-09,Hornets,• Morris Peterson,,activated from IL
2009-12-09,Pacers,,• Danny Granger,placed on IL with torn plantar fascia in right foot
2009-12-09,Pacers,,• Earl Watson,placed on IL
2009-12-09,Pacers,• A.J. Price,,activated from IL
2009-12-09,Pacers,• Josh McRoberts,,activated from IL
2009-12-09,Raptors,,• Andrea Bargnani,placed on IL with sore right ankle
2009-12-09,Raptors,• Patrick O'Bryant,,activated from IL
2009-12-10,Nuggets,,• Kenyon Martin Sr.,placed on IL with dislocated left pinky finger
2009-12-10,Nuggets,• Malik Allen,,activated from IL
2009-12-10,Wizards,,• Mike Miller,placed on IL (P)
2009-12-10,Wizards,• Nick Young,,activated from IL
2009-12-11,Cavaliers,,• Daniel Gibson,placed on IL with sprained right pinkie finger
2009-12-11,Cavaliers,• Coby Karl,,activated from IL
2009-12-11,Hawks,,• Joe Smith (Leynard),placed on IL with dislocated left thumb
2009-12-11,Hawks,• Othello Hunter,,activated from IL
2009-12-11,Heat,,• Shavlik Randolph,placed on IL
2009-12-11,Mavericks,,• James Singleton,placed on IL
2009-12-11,Mavericks,• Quinton Ross,,activated from IL
2009-12-11,Nets,,• Jarvis Hayes,placed on IL (P)
 Date, Team, Acquired, Relinquished, Notes
2009-12-11,Nets,• Tony Battie,,activated from IL (P)
2009-12-11,Pacers,,• Josh McRoberts,placed on IL
2009-12-11,Pacers,• Earl Watson,,activated from IL
2009-12-11,Raptors,,• Marcus Banks,placed on IL
2009-12-11,Raptors,,• Patrick O'Bryant,placed on IL
2009-12-11,Raptors,• Andrea Bargnani,,activated from IL
2009-12-11,Raptors,• Jose Calderon,,activated from IL
2009-12-11,Timberwolves,,• Brian Cardinal,placed on IL
2009-12-11,Timberwolves,• Nathan Jawai,,activated from IL
2009-12-11,Heat,• Daequan Cook,,activated from IL
2009-12-12,Bucks,• Michael Redd,,activated from IL
2009-12-12,Nuggets,• Kenyon Martin Sr.,,activated from IL
2009-12-12,Pistons,• Richard Hamilton,,activated from IL
2009-12-13,Clippers,,• Brian Skinner,placed on IL
2009-12-13,Clippers,• Ricky Davis,,activated from IL
2009-12-13,Heat,,• Quentin Richardson,placed on IL with sore right hamstring
2009-12-13,Nets,,• Chris Douglas-Roberts,placed on IL with sore left knee
2009-12-13,Nets,• Eduardo Najera,,activated from IL
2009-12-13,Raptors,,• Jose Calderon,placed on IL with sore left hip
2009-12-13,Raptors,• Marcus Banks,,activated from IL
2009-12-14,Clippers,,• DeAndre Jordan,placed on IL
2009-12-14,Clippers,• Brian Skinner,,activated from IL
2009-12-14,Jazz,,• Kosta Koufos,placed on IL
2009-12-14,Jazz,• Kyle Korver,,activated from IL
2009-12-14,Mavericks,,• Matt Carroll,placed on IL (P)
 Date, Team, Acquired, Relinquished, Notes
2009-12-14,Mavericks,• Josh Howard,,activated from IL
2009-12-14,Nuggets,• Johan Petro,,activated from IL (P)
2009-12-14,Nuggets,• Renaldo Balkman,,activated from IL
2009-12-14,Timberwolves,,• Ryan Gomes,placed on IL with sprained left ankle (P) / knee (CBC)
2009-12-14,Timberwolves,• Brian Cardinal,,activated from IL
2009-12-15,Cavaliers,• Daniel Gibson,,activated from IL
2009-12-15,Knicks,,• Darko Milicic,placed on IL
2009-12-15,Knicks,,• Jonathan Bender,placed on IL with knee injury
2009-12-15,Knicks,• Marcus Landry,,activated from IL
2009-12-15,Pistons,,• Ben Gordon,placed on IL with sprained left ankle
2009-12-15,Pistons,• Will Bynum,,activated from IL
2009-12-15,Rockets,• Tracy McGrady,,activated from IL
2009-12-16,76ers,,• Primoz Brezec,placed on IL
2009-12-16,76ers,• Marreese Speights,,activated from IL
2009-12-16,Bucks,,• Roko-Leni Ukic / Roko Ukic,placed on IL
2009-12-16,Bucks,• Jodie Meeks,,activated from IL
2009-12-16,Cavaliers,,• Coby Karl,placed on IL
2009-12-16,Magic,,• Jameer Nelson,placed on IL recovering from arthroscopic surgery on left knee to repair torn meniscus
2009-12-16,Magic,• Adonal Foyle,,activated from IL
2009-12-16,Pacers,,• Jeff Foster,placed on IL with sore back
2009-12-16,Pacers,• Josh McRoberts,,activated from IL
2009-12-16,Spurs,,• Theo Ratliff,placed on IL
2009-12-16,Spurs,• Marcus Haislip,,activated from IL
2009-12-17,Blazers,,• Greg Oden,placed on IL recovering from surgery on left knee to repair fractured kneecap (out for season)
2009-12-17,Heat,,• Yakhouba Diawara,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2009-12-17,Heat,• Quentin Richardson,,activated from IL
2009-12-17,Knicks,,• Larry Hughes,placed on IL with strained left groin
2009-12-17,Knicks,• Jonathan Bender,,activated from IL
2009-12-17,Suns,,• Jason Richardson,placed on IL with sprained ankle (P) / right hand injury (CBC)
2009-12-17,Suns,• Taylor Griffin,,activated from IL
2009-12-18,Bucks,,• Dan Gadzuric,placed on IL with patella tendinitis in knee
2009-12-18,Bucks,• Francisco Elson,,activated from IL
2009-12-18,Nets,,• Keyon Dooling,placed on IL with sore hip flexors
2009-12-18,Nets,• Chris Douglas-Roberts,,activated from IL
2009-12-18,Nuggets,,• Chauncey Billups,placed on IL with strained left groin
2009-12-18,Nuggets,• Renaldo Balkman,,activated from IL (P)
2009-12-18,Pacers,,• Josh McRoberts,placed on IL
2009-12-18,Pacers,• Jeff Foster,,activated from IL
2009-12-19,76ers,,• Allen Iverson,placed on IL with arthritis in left knee
2009-12-19,76ers,• Louis Williams / Lou Williams,,activated from IL
2009-12-19,Blazers,,• Travis Outlaw,placed on IL recovering from surgery on left foot to repair stress fracture
2009-12-19,Blazers,• Jeff Pendergraph / Jeff Ayres,,activated from IL
2009-12-19,Clippers,,• Ricky Davis,placed on IL
2009-12-19,Clippers,• DeAndre Jordan,,activated from IL
2009-12-19,Nets,,• Tony Battie,placed on IL with strained right groin
2009-12-19,Nets,• Keyon Dooling,,activated from IL
2009-12-19,Spurs,,• Marcus Haislip,placed on IL
2009-12-19,Spurs,• Theo Ratliff,,activated from IL
2009-12-19,Suns,,• Taylor Griffin,placed on IL
2009-12-19,Suns,• Jason Richardson,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-12-20,Cavaliers,,• Jamario Moon,placed on IL
2009-12-20,Cavaliers,• Danny Green,,activated from IL
2009-12-20,Mavericks,,• Dirk Nowitzki,placed on IL with lacerated right elbow
2009-12-20,Mavericks,• James Singleton,,activated from IL
2009-12-21,Jazz,,• Kyle Korver,placed on IL recovering from surgery on left knee to remove bone spur (DNP)
2009-12-21,Jazz,• Kosta Koufos,,activated from IL
2009-12-21,Magic,,• Adonal Foyle,placed on IL
2009-12-21,Magic,• Jameer Nelson,,activated from IL
2009-12-21,Pacers,,• Jeff Foster,placed on IL with back injury
2009-12-21,Pacers,• Josh McRoberts,,activated from IL
2009-12-21,Spurs,,• Matt Bonner,placed on IL with broken bone in right hand
2009-12-21,Spurs,• Marcus Haislip,,activated from IL
2009-12-22,Bobcats,,• Ronald Murray / Flip Murray,placed on IL with sprained right ankle
2009-12-22,Knicks,,• Marcus Landry,placed on IL
2009-12-22,Knicks,• Larry Hughes,,activated from IL
2009-12-22,Mavericks,,• James Singleton,placed on IL
2009-12-22,Mavericks,• Dirk Nowitzki,,activated from IL
2009-12-23,Cavaliers,,• Danny Green,placed on IL
2009-12-23,Cavaliers,• Jamario Moon,,activated from IL
2009-12-23,Hornets,,• Morris Peterson,placed on IL
2009-12-23,Hornets,• Bobby Brown,,activated from IL
2009-12-23,Nets,,• Chris Douglas-Roberts,placed on IL with right ankle injury
2009-12-23,Nets,,• Eduardo Najera,placed on IL with back injury
2009-12-23,Nets,• Tony Battie,,activated from IL
2009-12-23,Nets,• Yi Jianlian / Jianlian Yi,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2009-12-23,Rockets,,• Chase Budinger,placed on IL with sprained right ankle
2009-12-23,Thunder,,• Matt Harpring,placed on IL with ankle infection (out for season)
2009-12-23,Thunder,• Kyle Weaver,,activated from IL
2009-12-25,Celtics,,• Paul Pierce,placed on IL recovering from surgery on right knee to drain fluid
2009-12-25,Celtics,• Glen Davis,,activated from IL
2009-12-25,Clippers,,• DeAndre Jordan,placed on IL
2009-12-25,Clippers,• Ricky Davis,,activated from IL
2009-12-25,Nuggets,,• Johan Petro,placed on IL
2009-12-25,Nuggets,• Chauncey Billups,,activated from IL
2009-12-25,Suns,,• Alando Tucker,placed on IL
2009-12-25,Suns,• Leandro Barbosa,,activated from IL
